;doc_author;northsouth;year;cut;tokens_total;1;2;3;4;5;6;7;8;9;1-norm;2-norm;3-norm;4-norm;5-norm;6-norm;7-norm;8-norm;9-norm
20;1687_Rott_Waer;n;1687;(1650, 1700];24492.0;4.0;2.0;0.0;5.0;0.0;6.0;0.0;11.0;0.0;0.00016331863465621427;8.165931732810714e-05;0.0;0.00020414829332026784;0.0;0.0002449779519843214;0.0;0.00044912624530458925;0.0
21;1697_Leeu_Vitr;n;1697;(1650, 1700];122883.0;79.0;52.0;6.0;22.0;14.0;33.0;27.0;0.0;3.0;0.0006428879503267335;0.0004231667521137993;4.882693293620761e-05;0.00017903208743276126;0.00011392951018448443;0.00026854813114914186;0.00021972119821293424;0.0;2.4413466468103806e-05
22;1713_Hout_Dres;n;1713;(1700, 1750];5633.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0007101011894194922;0.0;0.0;0.0
23;1716_Jisp_anon;n;1716;(1700, 1750];18930.0;10.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0005282620179609086;0.0;0.0;0.0;0.0;0.00021130480718436345;0.0;0.0;0.0
24;1719_Brus_Hage;s;1719;(1700, 1750];62918.0;15.0;10.0;2.0;4.0;0.0;19.0;0.0;14.0;0.0;0.0002384055437235767;0.00015893702914905115;3.178740582981023e-05;6.357481165962045e-05;0.0;0.0003019803553831972;0.0;0.0002225118408086716;0.0
25;1719_Tong_Anon;n;1719;(1700, 1750];7939.0;1.0;3.0;0.0;0.0;0.0;16.0;0.0;1.0;0.0;0.00012596044841919638;0.0003778813452575891;0.0;0.0;0.0;0.002015367174707142;0.0;0.00012596044841919638;0.0
26;1721_Antw_anon;s;1721;(1700, 1750];6680.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0001497005988023952;0.0;0.0;0.0002994011976047904;0.0;0.0;0.0;0.0;0.0
27;1722_Huiz_Lust;n;1722;(1700, 1750];59651.0;3.0;1.0;9.0;2.0;0.0;10.0;0.0;2.0;26.0;5.029253491140132e-05;1.676417830380044e-05;0.00015087760473420396;3.352835660760088e-05;0.0;0.0001676417830380044;0.0;3.352835660760088e-05;0.0004358686358988114
28;1725_Antw_anon;s;1725;(1700, 1750];6385.0;19.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0029757243539545813;0.00046985121378230227;0.0;0.0;0.0;0.00031323414252153485;0.0;0.0;0.0
29;1745_Kort_Putt;s;1745;(1700, 1750];97880.0;67.0;11.0;0.0;12.0;0.0;8.0;2.0;11.0;1.0;0.0006845116469145893;0.00011238250919493257;0.0;0.00012259910093992643;0.0;8.173273395995096e-05;2.043318348998774e-05;0.00011238250919493257;1.021659174499387e-05
30;1747_Amst_Boer;n;1747;(1700, 1750];86857.0;57.0;10.0;7.0;30.0;34.0;94.0;21.0;0.0;14.0;0.0006562510793603279;0.00011513176830882946;8.059223781618062e-05;0.0003453953049264884;0.00039144801225002014;0.0010822386221029968;0.00024177671344854186;0.0;0.00016118447563236125
31;1747_Utre_Woer;n;1747;(1700, 1750];12962.0;3.0;1.0;3.0;1.0;0.0;5.0;1.0;0.0;0.0;0.00023144576454250888;7.714858818083629e-05;0.00023144576454250888;7.714858818083629e-05;0.0;0.00038574294090418145;7.714858818083629e-05;0.0;0.0
32;1748_Berg_Folk;n;1748;(1700, 1750];35190.0;0.0;24.0;2.0;0.0;10.0;37.0;1.0;0.0;13.0;0.0;0.0006820119352088661;5.683432793407218e-05;0.0;0.0002841716396703609;0.0010514350667803353;2.841716396703609e-05;0.0;0.0003694231315714692
33;1749_Rott_Sche;n;1749;(1700, 1750];26787.0;63.0;10.0;10.0;10.0;13.0;131.0;8.0;1.0;1.0;0.002351887109418748;0.00037331541419345204;0.00037331541419345204;0.00037331541419345204;0.0004853100384514877;0.004890431925934221;0.00029865233135476166;3.733154141934521e-05;3.733154141934521e-05
34;1752_Zaan_Veen;n;1752;(1750, 1800];15440.0;5.0;2.0;3.0;3.0;0.0;7.0;3.0;2.0;10.0;0.0003238341968911917;0.00012953367875647668;0.00019430051813471502;0.00019430051813471502;0.0;0.0004533678756476684;0.00019430051813471502;0.00012953367875647668;0.0006476683937823834
35;1758_Maas_anon;n;1758;(1750, 1800];3254.0;0.0;3.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0009219422249539029;0.0;0.0;0.00030731407498463427;0.0;0.00030731407498463427;0.0;0.0
36;1762_Maas_anon;n;1762;(1750, 1800];27107.0;5.0;1.0;0.0;0.0;0.0;0.0;4.0;1.0;0.0;0.0001844542000221345;3.68908400044269e-05;0.0;0.0;0.0;0.0;0.0001475633600177076;3.68908400044269e-05;0.0
37;1772_Amst_Bikk;n;1772;(1750, 1800];78009.0;2.0;0.0;1.0;0.0;1.0;3.0;0.0;0.0;0.0;2.56380674024792e-05;0.0;1.28190337012396e-05;0.0;1.28190337012396e-05;3.84571011037188e-05;0.0;0.0;0.0
38;1776_Mech_Nieu;s;1776;(1750, 1800];59000.0;59.0;15.0;0.0;30.0;2.0;10.0;0.0;19.0;15.0;1;0.0002542372881355932;0.0;0.0005084745762711864;3.389830508474576e-05;0.00016949152542372882;0.0;0.0003220338983050847;0.0002542372881355932
39;1787_Gent_Anon_01;s;1787;(1750, 1800];15717.0;4.0;0.0;0.0;1.0;0.0;17.0;0.0;1.0;3.0;0.0002545014951962843;0.0;0.0;6.362537379907107e-05;0.0;0.0010816313545842081;0.0;6.362537379907107e-05;0.0001908761213972132
40;1791_Purm_Louw;n;1791;(1750, 1800];312728.0;190.0;12.0;17.0;41.0;4.0;89.0;3.0;243.0;34.0;0.0006075567266122637;3.8372003786037704e-05;5.4360338696886755e-05;0.00013110434626896218;1.2790667928679236e-05;0.000284592361413113;9.593000946509426e-06;0.0007770330766672636;0.00010872067739377351
41;1792_Brie_Klui_01;n;1792;(1750, 1800];77944.0;21.0;2.0;3.0;0.0;4.0;19.0;1.0;1.0;0.0;0.0002694242019911731;2.5659447808683157e-05;3.848917171302474e-05;0.0;5.1318895617366314e-05;0.00024376475418249;1.2829723904341578e-05;1.2829723904341578e-05;0.0
42;1793_Bred_anon;n;1793;(1750, 1800];11928.0;16.0;15.0;0.0;3.0;5.0;4.0;4.0;0.0;0.0;0.0013413816230717639;0.0012575452716297787;0.0;0.00025150905432595576;0.00041918175720992624;0.00033534540576794097;0.00033534540576794097;0.0;0.0
43;1794_Hoor_Veli;n;1794;(1750, 1800];114205.0;69.0;14.0;5.0;15.0;2.0;27.0;10.0;92.0;4.0;0.0006041766997942297;0.0001225865767698437;4.378092027494418e-05;0.00013134276082483253;1.751236810997767e-05;0.00023641696948469856;8.756184054988836e-05;0.0008055689330589729;3.502473621995534e-05
44;1795_Deve_Jord;n;1795;(1750, 1800];4220.0;3.0;0.0;0.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0007109004739336493;0.0;0.0;0.00023696682464454977;0.00047393364928909954;0.0;0.0;0.00023696682464454977;0.0
45;1796_Antw_Aars;s;1796;(1750, 1800];7168.0;10.0;1.0;1.0;0.0;2.0;0.0;6.0;1.0;0.0;0.0013950892857142857;0.00013950892857142856;0.00013950892857142856;0.0;0.00027901785714285713;0.0;0.0008370535714285714;0.00013950892857142856;0.0
46;1797_Alkm_Anon;n;1797;(1750, 1800];29864.0;55.0;2.0;7.0;3.0;5.0;8.0;1.0;0.0;0.0;0.0018416822930618806;6.69702652022502e-05;0.0002343959282078757;0.0001004553978033753;0.0001674256630056255;0.0002678810608090008;3.34851326011251e-05;0.0;0.0
47;1800_Brug_Wall;s;1800;(1750, 1800];182791.0;51.0;6.0;73.0;7.0;8.0;15.0;5.0;16.0;1.0;0.0002790071721255423;3.282437319124027e-05;0.00039936320716008994;3.829510205644698e-05;4.376583092165369e-05;8.206093297810067e-05;2.7353644326033558e-05;8.753166184330739e-05;5.470728865206712e-06
48;1802_Venl_Post;n;1802;(1800, 1856];32563.0;9.0;1.0;0.0;0.0;2.0;3.0;0.0;6.0;0.0;0.0002763873107514664;3.0709701194607376e-05;0.0;0.0;6.141940238921475e-05;9.212910358382213e-05;0.0;0.00018425820716764426;0.0
49;1805_Haar_Vinn;n;1805;(1800, 1856];43277.0;19.0;10.0;11.0;6.0;7.0;25.0;36.0;0.0;2.0;0.0004390322804260924;0.00023106962127689073;0.0002541765834045798;0.00013864177276613442;0.0001617487348938235;0.0005776740531922268;0.0008318506365968066;0.0;4.6213924255378144e-05
50;1807_Leuv_Pelc;s;1807;(1800, 1856];162230.0;181.0;64.0;7.0;21.0;3.0;73.0;27.0;32.0;1.0;0.0011156999321950318;0.00039450163348332614;4.31486161622388e-05;0.00012944584848671638;1.8492264069530913e-05;0.00044997842569191886;0.00016643037662577822;0.00019725081674166307;6.164088023176971e-06
51;1808_Gent_Quic;s;1808;(1800, 1856];43431.0;10.0;2.0;0.0;0.0;4.0;18.0;17.0;0.0;0.0;0.00023025028205659551;4.6050056411319105e-05;0.0;0.0;9.210011282263821e-05;0.00041445050770187194;0.00039142547949621236;0.0;0.0
