;Batch;doc;doc_author;contemporain;page_start;scans;scans-annotated;Subcorpus;tokens_total;source;receiver;perception;written;heard;seen;else;year
166;2;1776_Mech_Nieu_05;1776_Mech_Nieu;y;1;153.0;151.0;1.0;26634;81;9;16;13;2;1;0;1776
178;4;1787_Gent_Anon_01;1787_Gent_Anon_01;y;1;121.0;120.0;1.0;15717;26;5;22;1;15;5;1;1787
190;1;1791_Purm_Louw;1791_Purm_Louw;n;185;674.0;643.0;1.0;190200;324;69;152;17;78;56;1;1791
191;4;1791_Purm_Louw_01B;1791_Purm_Louw;y;1;311.0;306.0;1.0;122528;309;13;21;6;5;6;4;1791
148;DBNL;1792_Brie_Klui_01;1792_Brie_Klui_01;y;1;247.0;106.0;0.0;77944;51;12;42;21;12;9;0;1792
195;2;1793_Bred_anon;1793_Bred_anon;y;1;97.0;58.0;0.0;11928;47;12;10;0;8;2;0;1793
199;1;1794_Hoor_Veli;1794_Hoor_Veli;?;1;697.0;339.0;0.0;114205;238;52;94;10;42;38;4;1794
201;1;1795_Deve_Jord;1795_Deve_Jord;y;1;19.0;19.0;1.0;4220;7;5;4;0;2;2;0;1795
206;2;1796_Antw_Aars;1796_Antw_Aars;?;1;41.0;41.0;1.0;7168;21;2;2;0;0;2;0;1796
209;DBNL;1797_Alkm_Anon;1797_Alkm_Anon;y;1;122.0;122.0;1.0;29864;81;6;25;3;21;0;1;1797
168;DBNL;1800_Brug_Wall_01;1800_Brug_Wall;y;1;13.0;13.0;1.0;22640;25;9;39;10;12;17;0;1800
176;DBNL;1800_Brug_Wall_03;1800_Brug_Wall;y;1;129.0;42.0;0.0;32381;10;14;16;2;7;7;0;1800
180;DBNL;1800_Brug_Wall_04;1800_Brug_Wall;y;1;108.0;27.0;0.0;13881;3;1;1;0;0;1;0;1800
183;DBNL;1800_Brug_Wall_05;1800_Brug_Wall;y;1;114.0;66.0;0.0;43122;59;17;16;13;2;1;0;1800
188;DBNL;1800_Brug_Wall_06;1800_Brug_Wall;y;1;166.0;43.0;0.0;28448;22;0;0;0;0;0;0;1800
193;DBNL;1800_Brug_Wall_07;1800_Brug_Wall;y;1;212.0;91.0;0.0;42319;63;24;45;12;22;11;0;1800
221;DBNL;1802_Venl_Post;1802_Venl_Post;y;1;231.0;101.0;0.0;32563;21;2;11;1;9;1;0;1802
225;1;1805_Haar_Vinn;1805_Haar_Vinn;?;1;157.0;148.0;1.0;43277;116;21;86;15;59;12;0;1805
227;4;1807_Leuv_Pelc_01;1807_Leuv_Pelc;?;1;491.0;100.0;0.0;37265;24;34;45;3;14;28;0;1807
228;3;1807_Leuv_Pelc_02;1807_Leuv_Pelc;?;1;395.0;388.0;1.0;124965;385;99;137;15;89;30;3;1807
244;3;1808_Gent_Quic;1808_Gent_Quic;y;1;89.0;57.0;0.0;43431;51;8;43;18;25;0;0;1808
247;2;1813_Haag_Baak;1813_Haag_Baak;n;9;197.0;194.0;1.0;43423;92;20;41;15;25;1;0;1813
250;DBNL;1814_Leeu_Stor;1814_Leeu_Stor;y;1;81.0;81.0;1.0;16017;33;4;38;14;19;5;0;1814
251;3;1814_Twis_Kamp;1814_Twis_Kamp;y;1;72.0;67.0;1.0;33730;25;2;12;3;4;5;0;1814
252;1;1814_Worm_Ding;1814_Worm_Ding;?;1;33.0;33.0;1.0;8724;23;1;4;2;1;1;0;1814
256;1;1818_Broe_Bakk;1818_Broe_Bakk;n;20;41.0;40.0;1.0;8930;8;9;11;1;5;5;0;1818
224;4;1821_Brus_Goet_01;1821_Brus_Goet_01;y;1;164.0;156.0;1.0;80403;176;229;250;14;32;199;5;1821
271;2;1823_Zaan_Groo;1823_Zaan_Groo;n;1;49.0;49.0;1.0;2756;7;2;1;0;0;1;0;1823
186;4;1835_Gent_Call_01;1835_Gent_Call;y;1;259.0;248.0;1.0;54805;87;17;21;5;11;5;0;1835
279;3;1835_Gent_Call_03;1835_Gent_Call;y;1;340.0;91.0;0.0;13684;24;24;35;13;17;1;4;1835
280;1;1841_Zier_Bloo;1841_Zier_Bloo;y;1;49.0;48.0;1.0;21910;69;7;12;6;3;3;0;1841
281;DBNL;1844_Heez_Moor;1844_Heez_Moor;n;28;86.0;86.0;1.0;21469;8;0;0;0;0;0;0;1844
282;2;1846_Antw_Coni_01;1846_Antw_Coni;y;1;157.0;85.0;0.0;22939;90;12;32;20;8;4;0;1846
283;2;1846_Antw_Coni_02;1846_Antw_Coni;y;1;181.0;164.0;0.0;38860;121;9;31;7;22;2;0;1846
284;2;1846_Antw_Coni_03;1846_Antw_Coni;y;1;140.0;139.0;1.0;31163;69;8;15;0;11;4;0;1846
300;DBNL;1855_Popp_Jong;1855_Popp_Jong;y;1;846.0;121.0;0.0;178891;26;2;20;4;14;2;0;1855
302;DBNL;1856_Wird_Hell;1856_Wird_Hell;y;1;875.0;110.0;0.0;557265;139;31;51;10;30;11;0;1856
