,topic,words,primitives,category,primitives_corrected,primitives_corrected_1,primitives_corrected_2
110,110,"['pompiers' 'kommandant' 'kolonel' 'borgerwacht' 'korps' 'burgerwacht'
 'kompagnie' 'coppens' 'regentie' 'kauter' 'zich' 'morgend'
 'detachementen' 'orangisten' 'vrywilligers' 'terwyl' 'garnizoen'
 'kapiteyn' 'muziek' 'zynen' 'wapens' 'bezettinge' 'zyne' 'gevolgd'
 'hoofd' 'detachement' 'bemerkte' 'belgien' 'bezonderlyk' 'belgen'
 'bezetting' 'gelegenheyd' 'officieren' 'civique' 'veyligheyd' 'musicq'
 'bereyd' 'commandant' 'verscheyde' 'staf' 'citadel' 'dadelyk' 'volk'
 'moed' 'houding' 'gelegendheyd' 'militairen' 'vryheyd' 'legioen' 'onzer']",313,4,309,313,452
111,111,"['verthonen' 'reverentelijk' 'mandament' 'regeerders' 'fiat' 'gedaagdens'
 'versoeken' 'regierders' 'burgermeesteren' 'contra' 'haarlem' 'gouda'
 'impetrant' 'geeven' 'dordrecht' 'enkhuizen' 'middelburg' 'monnikendam'
 'reverentie' 'burgemeesteren' 'appel' 'steede' 'behoorlijke' 'delft'
 'reformatie' 'alkmaar' 'gorinchem' 'vertoonen' 'steeden' 'schagen'
 'raade' 'uedel' 'kennen' 'edam' 'mitsgaders' 'burgemeesters' 'leijden'
 'schiedam' 'overigheid' 'boelhuismeester' 'rotterdam' 'hoove' 'egmond'
 'schoonhoven' 'geinterdiceert' 'brielle' 'gevoegt' 'burgerye'
 'ingelanden' 'dijkgraaf']",312,2,294,83,93
112,112,"['gefondeert' 'gesticht' 'klooster' 'kerck' 'beurssen' 'genoemt' 'regel'
 'sint' 'clooster' 'religieusen' 'jaerlijxs' 'wegh' 'int' 'jesuiten'
 'collatores' 'fondatie' 'beseth' 'geusen' 'gebouwt' 'loven' 'anno'
 'diestersche' 'bouwen' 'studeren' 'minderbroeders' 'gemackt' 'hijligen'
 'genaemt' 'gewesene' 'gewese' 'daer' 'canonicken' 'iaer' 'gestigt'
 'broeders' 'bogaerden' 'isser' 'sinte' 'begonst' 'paters' 'huysen' 'niuw'
 'berthout' 'nonnen' 'canonick' 'vrouwe' 'fondatien' 'pastoor'
 'predicaren' 'minnebroeders']",312,12,62,138,226
113,113,"['vruchtbaar' 'groei' 'hooi' 'uitmuntend' 'muizen' 'droogte' 'gras'
 'buitengewoon' 'maaijen' 'thans' 'overvloedig' 'steeds' 'gemaaid'
 'voorjaar' 'weinig' 'allerschoonst' 'schaarsheid' 'groeizaam' 'jongvee'
 'vooral' 'melkvee' 'afwisselende' 'overvloed' 'aanhoudene' 'buitenlanden'
 'daardoor' 'boekweit' 'bloei' 'tothiertoe' 'melk' 'goed' 'vaak'
 'bijzonder' 'gemaak' 'aardappels' 'herfst' 'schaars' 'velen'
 'aardappelen' 'opvolgende' 'weiden' 'trouwens' 'omtrek' 'genoegzaam'
 'gezweeld' 'klagen' 'vee' 'gering' 'aanwezig' 'droog']",311,6,250,694,456
114,114,"['keizer' 'rusland' 'koning' 'frankryk' 'napoleon' 'mogendheden'
 'engeland' 'ryk' 'frankrijk' 'pruisen' 'eindelyk' 'vrankryk' 'had'
 'kroon' 'oorlog' 'oostenrijk' 'rijk' 'koningin' 'belgie' 'spanje'
 'duitschland' 'zyne' 'republiek' 'wereld' 'keyzer' 'geteekend' 'frederik'
 'belgien' 'vrankrijk' 'karel' 'nederland' 'grondgebied' 'lodewijk'
 'troon' 'koningen' 'koningryk' 'zynen' 'iseghem' 'bekend' 'lodewyk'
 'zegd' 'heilig' 'belgenland' 'italie' 'deugden' 'spanjen' 'magt'
 'gevierd' 'volken' 'majesteit']",310,8,224,248,197
115,115,"['ligchaam' 'jaardag' 'jezus' 'gezond' 'gezondheid' 'eeuwigheid' 'dank'
 'echtgenote' 'amen' 'goedheid' 'anske' 'zwak' 'vaak' 'jeltje' 'ziel'
 'huisgezin' 'bijstand' 'dankbaar' 'vlug' 'dankbaarheid' 'gevoel' 'god'
 'redelijk' 'zegen' 'geloof' 'danken' 'werkzaam' 'wereld' 'herinnering'
 'dierbare' 'uw' 'uiltje' 'vrolijk' 'liefde' 'schenk' 'onzer' 'laat'
 'meid' 'heil' 'krachten' 'dierbaar' 'mijner' 'betrekkingen' 'kleinen'
 'mond' 'ouders' 'mensch' 'kleine' 'toestand' 'moge']",309,5,277,197,805
116,116,"['tongeren' 'luijck' 'verdestrueert' 'regeerde' 'anno' 'maestricht'
 'soone' 'gecoosen' 'heijligen' 'aft' 'gemackt' 'hartoge' 'mastricht'
 'kerck' 'maestrecht' 'luyck' 'hartoch' 'wart' 'collen' 'lotteringen'
 'soe' 'gefundeert' 'tenemael' 'seeckeren' 'name' 'welck' 'geheeten' 'ao'
 'genaempt' 'servaes' 'coninck' 'bekeert' 'eodem' 'borgerie' 'wesende'
 'janskerck' 'uuijt' 'grignoux' 'licham' 'gebrocht' 'oem' 'romen' 'sulcke'
 'gecomen' 'volck' 'lambrecht' 'genoemt' 'henne' 'gulick' 'haer']",308,12,96,116,155
117,117,"['jn' 'jnt' 'jnde' 'werdene' 'daerup' 'jndien' 'thebben' 'upde' 'jnden'
 'anderssins' 'uuyt' 'andwoorde' 'upden' 'elc' 'ghijlieden' 'jnne'
 'moghen' 'dwelc' 'ghelijc' 'ougste' 'ooc' 'gheseyt' 'up' 'neeringhen'
 'elcanderen' 'haerlieder' 'ghebleken' 'zulcx' 'ic' 'tghemeente' 'causen'
 'ghelijcke' 'bijden' 'dierghelijcke' 'steerck' 'begheerte' 'keercke'
 'hemlien' 'begheeren' 'weverie' 'ghelijcken' 'danof' 'haerlier'
 'begheert' 'neeringhe' 'doene' 'metgaders' 'qualic' 'weercken' 'bringhen']",308,15,238,427,352
118,118,"['synde' 'patrioten' 'garnisoen' 'buyten' 'dragonders' 'vrywillige' 'syn'
 'soldaeten' 'gemarcheert' 'waegens' 'ruyters' 'huys' 'poorte'
 'gecampeert' 'borgers' 'cortryck' 'keyserlycke' 'huysen' 'gehaelt'
 'ruyterye' 'synder' 'canon' 'brugsche' 'troepen' 'gepasseert'
 'brusselsche' 'verscheyde' 'scheuten' 'campement' 'gekwetste' 'gevoert'
 'leger' 'geschoten' 'geretireert' 'peerd' 'gegaen' 'getransporteert'
 'gesteken' 'avonts' 'gequetst' 'isser' 'nae' 'regimenten' 'wegh'
 'hussaren' 'waer' 'gelaeden' 'kryghs' 'oostenryksche' 'geplundert']",307,1,285,244,294
119,119,"['friso' 'nassau' 'erfstadhouder' 'prins' 'oranje' 'gemalin' 'stadhouder'
 'frederik' 'doorlugtige' 'doorl' 'hoogheid' 'willem' 'doorluchtige'
 'orange' 'koninglijke' 'princes' 'generaal' 'hoogh' 'hoogheit' 'nassauw'
 'hoogheijd' 'prinses' 'hendrik' 'erfprins' 'geboren' 'koninklijke'
 'carolina' 'vorstelijke' 'fredrik' 'gemalinne' 'huwelijk' 'hoogheyd'
 'admiraal' 'staaten' 'prinse' 'princesse' 'mevrouwe' 'raad' 'naam' 'zyne'
 'koning' 'opgedragen' 'kroon' 'deszelfs' 'vereenigde' 'gebooren'
 'majesteit' 'graaf' 'geboorte' 'holland']",307,13,236,208,176
120,120,"['huerlyeder' 'hudt' 'vederomme' 'soldaden' 'zelsten' 'dye' 'vaelen'
 'vasser' 'lyeden' 'vas' 'ghemente' 'vyerdt' 'prynse' 'volch' 'dyt' 'vul'
 'och' 'buten' 'staedt' 'zoe' 'melcanderen' 'eet' 'ghecryghen' 'groete'
 'zeere' 'ypere' 'vaeren' 'ghuesen' 'sluus' 'alzoe' 'duer' 'zegghen'
 'sloughen' 'duere' 'ghesleghen' 'ghynghen' 'creghen' 'zaghen' 'perden'
 'convoey' 'droughen' 'zach' 'huus' 'hemlien' 'gheruchte' 'zochten'
 'jeghen' 'ghevanghen' 'ghaven' 'ghoet']",306,1,299,49,171
121,121,"['cameryck' 'sacrament' 'geestelycken' 'costelyck' 'kerck' 'almachtich'
 'keersen' 'sondachs' 'vesperen' 'gesongen' 'heylich' 'tortsen' 'welck'
 'cruys' 'sacramente' 'choor' 'prochiaen' 'heefft' 'devote' 'gepreeckt'
 'processie' 'vuyt' 'droech' 'tantwerpen' 'autaer' 'eeren' 'elck' 'papen'
 'ommeganck' 'wesende' 'gecleet' 'ramoer' 'biddende' 'dach' 'genaden'
 'metten' 'rombouts' 'misse' 'gecomen' 'heyligen' 'singen' 'dwelck'
 'canonicken' 'kercken' 'merckt' 'draghen' 'capittel' 'mochten' 'gebrocht'
 'reliquien']",305,14,258,266,301
122,122,"['borgemeester' 'meerderheyd' 'gecosen' 'voisen' 'aenstonts' 'raed'
 'magistraet' 'advocaet' 'substituet' 'overdeken' 'stadhuys' 'lints'
 'mynh' 'caemer' 'gezeyt' 'geroepen' 'janssens' 'mynheer' 'fiscael'
 'dekens' 'kiesen' 'keus' 'zittinge' 'opper' 'gevraeght' 'meyer' 'natien'
 'pensionaris' 'universiteyt' 'officiael' 'verrandert' 'geprotesteert'
 'welken' 'medecynen' 'claes' 'notaris' 'raede' 'raedsheer' 'fonctien'
 'gedeputeerden' 'voorgelesen' 'natie' 'laestleden' 'borgemeesters'
 'deken' 'gerught' 'twelf' 'morgent' 'secretaris' 'hoedanigheyd']",304,2,203,285,218
123,123,"['ghecondempneert' 'gheexecuteert' 'ghebannen' 'gheexamineert'
 'ghecondemneert' 'onthooft' 'ghehanghen' 'gheleijt' 'justicie' 'schavodt'
 'ghebonden' 'gherecht' 'ghebrocht' 'ghevoert' 'ghevanghen' 'sgraven'
 'oversulcx' 'gheweest' 'viere' 'galghe' 'sententie' 'ghestelt' 'ghelijck'
 'afghesneden' 'ghecommitteert' 'vanghenesse' 'ghestraft' 'pacienten'
 'werdene' 'scherprechter' 'sentencie' 'complicen' 'hals' 'staeck'
 'eijghen' 'ghesteken' 'ghesien' 'sweerde' 'ghevonden' 'ghegheselt'
 'quaet' 'wierter' 'causen' 'gheschiede' 'coorde' 'ghemeente'
 'ghevanghenen' 'ghelijcke' 'gheordonneert' 'ooghen']",304,7,172,198,197
124,124,"['maaijen' 'gezweeld' 'gemaaid' 'pondem' 'maaijers' 'hooi' 'zweelen'
 'pondemate' 'onleegtijd' 'pondematen' 'weiden' 'rooken' 'krijgen'
 'uitmuntend' 'thans' 'tothiertoe' 'allerschoonst' 'vruchtbaar' 'maar'
 'staan' 'muizen' 'gehaald' 'steeds' 'daarvan' 'ongeveer' 'droogte'
 'groei' 'goed' 'zwaar' 'week' 'nimmer' 'gras' 'gaat' 'afwisselende'
 'mogelijk' 'overvloedig' 'weide' 'genoeg' 'juist' 'staat' 'daarin'
 'genoodzaakt' 'groeizaam' 'buurman' 'genoegzaam' 'gevorderd'
 'buitengewoon' 'dagelijks' 'laat' 'hedenmorgen']",301,6,263,159,251
125,125,"['dair' 'sijndt' 'genaden' 'solden' 'vorsegde' 'wordde' 'quemen' 'wolden'
 'to' 'weren' 'dessen' 'desse' 'offt' 'geholden' 'fursten' 'voirt'
 'holden' 'ruteren' 'wordden' 'oick' 'ridderscap' 'campen' 'sanct'
 'vorsscreven' 'wolde' 'sijnre' 'hoir' 'maiestaet' 'hoep' 'woe' 'luden'
 'zwoll' 'bynnen' 'well' 'stadtholder' 'vrunden' 'uuth' 'all' 'soe'
 'liefften' 'veell' 'hefft' 'wyth' 'heren' 'meente' 'heefft' 'gelre'
 'furst' 'solde' 'onssen']",295,15,29,130,139
126,126,"['guld' 'markt' 'gewogen' 'kaas' 'verkogt' 'gld' 'duur' 'kogt' 'koopen'
 'goedkoop' 'kaes' 'gekogt' 'stv' 'booter' 'boter' 'rato' 'varkens'
 'markten' 'lb' 'betaald' 'waag' 'duurder' 'geld' 'koop' 'zak'
 'kooplieden' 'pond' 'meel' 'prijs' 'stuiv' 'koejen' 'smeer' 'aardappels'
 'verkoopen' 'wegende' 'vee' 'brood' 'varken' 'stuijv' 'spek' 'zoort'
 'gulden' 'ld' 'duurte' 'gelden' 'voorjaar' 'vette' 'cents' 'prijzen'
 'biggen']",291,6,196,209,195
127,127,"['prys' 'kunde' 'accessit' 'pryzen' 'behaeld' 'toegewezen' 'konsten'
 'medaille' 'leerlingen' 'societeyt' 'schilder' 'francies' 'plant'
 'eerlyke' 'konst' 'academie' 'concours' 'verzameling' 'schoonste' 'bouw'
 'planten' 'uytmuntende' 'geschrift' 'zilvere' 'plechtigheyd' 'afbeeldsel'
 'wetenschappen' 'historie' 'vernuft' 'tydstip' 'classe' 'maetschappy'
 'ontwerp' 'wyze' 'schole' 'landbouw' 'zyne' 'gend' 'gebortig' 'toon'
 'joseph' 'prysen' 'zaele' 'luyster' 'voornaemste' 'redevoeringe'
 'dellafaille' 'latynsche' 'teeken' 'gelyk']",284,4,253,96,89
128,128,"['generaals' 'bondgenooten' 'promotie' 'republicq' 'provintien'
 'provintie' 'ernstige' 'mog' 'generaal' 'generaliteyt' 'zoodanige'
 'zaaken' 'militie' 'verstaan' 'gezag' 'verklaren' 'staaten' 'oogmerken'
 'orange' 'kunnen' 'vertrouwen' 'regeering' 'zaak' 'vaderland' 'gedagten'
 'wettig' 'unie' 'geschied' 'poinct' 'ingezeetenen' 'tegenwoordige'
 'deliberatien' 'bevordering' 'gelegentheden' 'gedeputeerden' 'haare'
 'tegendeel' 'behoudenisse' 'zulke' 'gedrag' 'stadhouder'
 'omstandigheeden' 'pligt' 'ued' 'verklaard' 'derhalven' 'staat' 'wyze'
 'regeeringe' 'gedeputeerdens']",280,13,98,113,137
129,129,"['koninglyke' 'hoogheyd' 'loreynen' 'oostenryk' 'carel' 'theresia' 'prins'
 'hertogh' 'hertog' 'aerts' 'keyserlyke' 'koning' 'keyzer' 'afbeeldsel'
 'majesteyt' 'weerdigheyd' 'keyzerinne' 'syne' 'keyserinne' 'maria'
 'keyser' 'teschen' 'josephus' 'doorluchtigen' 'standbeeld' 'oostenryck'
 'zyne' 'keyzerlyke' 'ryk' 'christina' 'hertoghinne' 'nederlanden'
 'alexander' 'hongarien' 'koninklyke' 'naem' 'paleys' 'gemalinne' 'wylen'
 'erfgenaem' 'limbourg' 'plegtigheyd' 'wird' 'souvereyn' 'hertoginne'
 'zyn' 'gelegentheyd' 'huldinge' 'gekroont' 'duyts']",277,12,153,175,177
130,130,"['vroedschappen' 'articul' 'resolutie' 'voorsz' 'artic' 'behoren'
 'goedgevonden' 'burgermeesteren' 'verstaan' 'behooren' 'goedvinden'
 'resolutien' 'zodanige' 'verzoeken' 'vacature' 'mogen' 'handvesten'
 'keuren' 'verzoek' 'recommandatien' 'conform' 'ingezetenen' 'dispositie'
 'dienvolgende' 'zoodanige' 'ingezeetenen' 'verpligt' 'vroedschap'
 'burgemeesteren' 'ingevolge' 'uedel' 'volgens' 'zullen' 'sodanige'
 'vervat' 'regeering' 'regeringe' 'dezelven' 'toekomende' 'ampliatie'
 'verklaren' 'burgerye' 'deliberatien' 'kennisse' 'tegenwoordige'
 'purmerende' 'geoordeeld' 'zaeken' 'gelasten' 'ernstige']",276,2,176,223,223
131,131,"['belastingen' 'belasting' 'personeel' 'rijks' 'verponding' 'ontvangen'
 'kantoor' 'ontvanger' 'totaal' 'betaald' 'aanslag' 'onledig'
 'verschuldigde' 'patenten' 'omslag' 'gemaal' 'ingezetenen' 'laatst'
 'maanden' 'betaling' 'verklaard' 'sluiten' 'besluit' 'opcenten' 'echter'
 'bekend' 'geld' 'voldoen' 'grietenij' 'zegel' 'maand' 'duizend' 'geheven'
 'drukte' 'daartoe' 'directe' 'kosten' 'reeds' 'schuld' 'penning'
 'daarvan' 'billetten' 'werkzaamheden' 'waarvan' 'betaalen' 'jaarlijks'
 'fondsen' 'werkzaam' 'opgemaakt' 'laatste']",271,2,180,161,104
132,132,"['carilion' 'drijcaleurige' 'drijcaleurig' 'gespeelt' 'herhaelt'
 'naermiddag' 'gespel' 'opgesteken' 'saeg' 'uijtvoer' 'krijgsmusik'
 'besonderste' 'geluijt' 'members' 'peerdevolk' 'decadi' 'vlagge'
 'pligtigheijd' 'gemakt' 'geduerende' 'vruegt' 'feest' 'avons' 'bijnae'
 'vaendels' 'treijn' 'zaeg' 'geeijndigt' 'welpeijsende' 'onophoudelijk'
 'musik' 'verscheijde' 'heelen' 'oorsaek' 'almanak' 'pligtigheden'
 'republijke' 'mart' 'gelijk' 'geworden' 'gaset' 'vaendel' 'klokken'
 'geplaest' 'menige' 'degone' 'duijsenden' 'heele' 'gasette'
 'commediehuijs']",270,11,259,159,175
133,133,"['farmsum' 'appingedam' 'parlementair' 'vesting' 'delfzijl' 'batterij'
 'daarna' 'zag' 'vertrok' 'kwam' 'zich' 'echter' 'weldra' 'kwamen'
 'kommandant' 'kozakken' 'boord' 'bezetting' 'manschappen' 'voorposten'
 'naar' 'waarop' 'terug' 'deed' 'uur' 'inwoners' 'had' 'omstreeks'
 'verscheidene' 'toen' 'naderhand' 'werd' 'maakte' 'kapitein' 'kanonnen'
 'kanon' 'paard' 'aantal' 'geplaatst' 'batterijen' 'stadhuis' 'trok'
 'terstond' 'zagen' 'municipaliteit' 'genoodzaakt' 'zwitsers' 'trokken'
 'luitenant' 'wierd']",262,13,86,165,176
134,134,"['capitulatie' 'overgegaen' 'garnisoen' 'franschen' 'belegh' 'forten'
 'overgegeven' 'geallieerde' 'ingenomen' 'reidts' 'hollanders' 'ostende'
 'citadelle' 'gealierde' 'troepen' 'verovert' 'meenen' 'vesten'
 'belegeringe' 'canon' 'genomen' 'leger' 'gecampeert' 'stucken' 'belegert'
 'vivers' 'beleg' 'fort' 'soldaeten' 'gheallieerde' 'poorte' 'mortieren'
 'continuerde' 'beschoten' 'oorloghs' 'veroverde' 'trecken' 'doornijck'
 'fransche' 'aeth' 'continuerden' 'aende' 'casteel' 'poorten' 'bagasie'
 'geallieerden' 'vertrocken' 'camperen' 'berent' 'stadt']",262,1,213,374,346
135,135,"['collecte' 'verponding' 'ingezetenen' 'betaald' 'echter' 'verpondingen'
 'belasting' 'eigenaars' 'jaarlijks' 'bedroeg' 'penning' 'betaalt'
 'betaalen' 'bedraagt' 'huizen' 'gebruik' 'ontvangen' 'bedragen' 'buiten'
 'ingevoerd' 'maanden' 'voorgaande' 'omslag' 'aan' 'behoeve' 'geld'
 'kosten' 'huisen' 'haare' 'tijd' 'gearresteerd' 'derzelver' 'lands'
 'geheven' 'huur' 'deze' 'aanvang' 'gedaan' 'deeze' 'welke' 'ieder'
 'eigene' 'bezittingen' 'duizend' 'onderhoud' 'gedeelte' 'waarde' 'waar'
 'bekend' 'huisgezinnen']",261,2,139,131,135
136,136,"['regierde' 'gheregiert' 'regierijnghe' 'sijnen' 'ghestorven' 'sijns'
 'coninck' 'schotlandt' 'regieringhe' 'ghetrauwt' 'rijcke' 'jaere'
 'succedeerde' 'gheboren' 'huijsvrauwe' 'sone' 'stierf' 'rijck'
 'ghecroont' 'hungarijen' 'vercoren' 'gheseijt' 'soone' 'succederen'
 'auderdoms' 'romeijn' 'anno' 'regieren' 'pausdom' 'innocentius'
 'schotlant' 'welcken' 'regneerde' 'sijn' 'jaeren' 'roome' 'ghestelt'
 'leven' 'conijnghen' 'keijser' 'jaer' 'schodtlandt' 'vranckrijcke'
 'koninck' 'sijnder' 'ghecoren' 'gheslachte' 'gheweest' 'overleedt' 'paus']",261,12,50,95,108
137,137,"['peijne' 'haerlieder' 'vermoghen' 'weth' 'costuijme' 'gheordonneert'
 'ghelijcke' 'tsij' 'moghen' 'onderhauden' 'behoorlicke' 'actum'
 'consente' 'vischmaert' 'vercoopen' 'neeringhe' 'voornomde'
 'onderteeckent' 'parisis' 'thebben' 'dierghelijcke' 'voorseide'
 'correctie' 'ghepubliceert' 'verbueren' 'bringhen' 'arbitraire' 'nochte'
 'trompette' 'proffijte' 'wesen' 'upde' 'ghestelt' 'volghende' 'werdene'
 'maerct' 'danof' 'gheene' 'ghebruijcken' 'weghen' 'laeckenen'
 'gheschieden' 'gheswooren' 'naervolghende' 'ofte' 'ghelijcken' 'coope'
 'tzelve' 'faict' 'ordonnantie']",260,2,212,209,231
138,138,"['oic' 'spaengaerts' 'twellic' 'hierges' 'ettelicke' 'vredenborch'
 'voirts' 'voirs' 'uuyt' 'diewelcke' 'soedat' 'dieselve' 'soe' 'utrecht'
 'mit' 'daeromtrent' 'vianen' 'alva' 'vtrecht' 'zulcx' 'daernae'
 'sonnendach' 'vendelen' 'voir' 'gewoorden' 'cunnen' 'rebellen' 'dirrick'
 'cnechten' 'mitten' 'alsoe' 'borgeren' 'nijet' 'borgheren' 'naedat' 'ock'
 'mitter' 'inne' 'aprilis' 'huysluyden' 'hoove' 'moeghen' 'knechten'
 'ondersaten' 'ruteren' 'overmits' 'daervan' 'elcx' 'wesende' 'meghen']",259,1,242,178,182
139,139,"['vdn' 'rombauts' 'topp' 'brusselsche' 'wird' 'merkt' 'lovensche'
 'weynige' 'br' 'clergie' 'aersbisschop' 'savonds' 'vyf' 'geweest' 'noen'
 'huys' 'gegaen' 'kerke' 'magistraet' 'tyd' 'ueren' 'paleys' 'gestelt'
 'stadhuys' 'verscheyde' 'gezongen' 'gedraegen' 'mechelen' 'uren' 'kerk'
 'vrydag' 'jubile' 'buyten' 'iser' 'beginnen' 'canoniers' 'emin' 'heeft'
 'gepasseert' 'gemeynelyk' 'welken' 'uyt' 'getransporteert' 'stads'
 'middagh' 'peeters' 'mael' 'waer' 'geduert' 'avonts']",257,4,230,134,146
140,140,"['roome' 'christenen' 'paus' 'innocentius' 'sarasijnen' 'ghelijck'
 'eenighen' 'gheregiert' 'jerusolem' 'romeijn' 'eenighe' 'ketters'
 'ghestelt' 'moghen' 'christene' 'ghecondempneert' 'regieringhe'
 'vercoren' 'corts' 'pausdom' 'gheschiede' 'keijser' 'teghen' 'roomen'
 'clemens' 'turckschen' 'daernaer' 'regierde' 'ghestraft' 'eijghen'
 'welcken' 'sijnen' 'welck' 'eenich' 'goedt' 'saecken' 'wesen' 'segghen'
 'gonne' 'christen' 'oversulcx' 'ghestorven' 'regierijnghe' 'dese' 'rijck'
 'sulcx' 'turcken' 'ghebruijcken' 'siende' 'gheweest']",255,12,37,84,96
141,141,"['drachten' 'echter' 'bekend' 'gebruik' 'naderhand' 'zie' 'had' 'bestond'
 'zaak' 'betrekking' 'bestuur' 'geschiedenis' 'aanleiding' 'eeuw'
 'waarvan' 'zich' 'reeds' 'waarheid' 'toen' 'besluit' 'gezegd' 'einde'
 'tevens' 'aanteekeningen' 'gelegenheid' 'besluiten' 'onderscheidene'
 'ingezetenen' 'oorsprong' 'aanzienlijke' 'deze' 'goedkeuring' 'daarvan'
 'waarin' 'vroeger' 'geplaatst' 'thans' 'verspreid' 'oorzaak' 'aantal'
 'aanteekening' 'verscheidene' 'gemeld' 'aanvang' 'eigen' 'leeuwarden'
 'aanwezig' 'daartoe' 'bestaan' 'stand']",254,15,97,154,225
142,142,"['verneemt' 'oorloog' 'gasette' 'vaderlandts' 'bericht' 'berichten'
 'merkweerdige' 'nopende' 'provencien' 'weenen' 'provencie' 'pruijssen'
 'turken' 'pligtigheden' 'oostenrijksche' 'parijs' 'vranrijk' 'giften'
 'vaderlandsche' 'verscheijde' 'revolutie' 'pligtigheijd' 'eerstdaegs'
 'berlijn' 'gend' 'vrijwillige' 'toegesonden' 'uijtvoer' 'troupen'
 'omstandigheden' 'gemakt' 'schrikkelijcke' 'toestant' 'hongarien'
 'diesaengaende' 'congres' 'patrioticq' 'bevint' 'menige' 'waerin' 'uijt'
 'beroerten' 'voorgevallen' 'koninglijcke' 'bekentmaekinge' 'souvereijn'
 'opstant' 'vaderlanders' 'veroorsakt' 'voorval']",254,8,244,199,184
143,143,"['koning' 'vrankryk' 'napoleon' 'keyzer' 'ryk' 'keyzerinne' 'troon'
 'oostenryk' 'engeland' 'karel' 'prins' 'zyne' 'kroon' 'frankryk' 'hertog'
 'ludovicus' 'keizer' 'louis' 'zynen' 'pruyssen' 'opvolger' 'koningin'
 'koningryk' 'bonaparte' 'theresia' 'vranckryk' 'koninginne' 'rusland'
 'belgen' 'dood' 'vrankrijk' 'josephus' 'carel' 'rooms' 'leopoldus'
 'mogendheden' 'oorlog' 'hoofd' 'ryken' 'gekroont' 'geboren' 'gevierd'
 'lodewyk' 'konings' 'parys' 'philip' 'had' 'oudsten' 'luyster'
 'koninglyke']",254,8,180,250,259
144,144,"['houflaken' 'moersbergen' 'rysenburch' 'goyer' 'staten' 'excell' 'eck'
 'helsdingen' 'goetgevonden' 'state' 'authoriteyt' 'praesentibus'
 'verhaelt' 'poincten' 'daerby' 'utrecht' 'vereenichde' 'daeromme'
 'gebruycken' 'vergaderinge' 'synode' 'gelegentheyt' 'berck' 'stilo'
 'verstaen' 'gedelibereert' 'generaliteyt' 'dienvolgende' 'daerop'
 'hemluyden' 'versocht' 'gemelte' 'verscheydene' 'verclaert'
 'gecommitteerden' 'meeninge' 'franssen' 'daervan' 'seynden' 'hamel'
 'tgene' 'versoucken' 'gedeputeerden' 'nyet' 'saecke' 'omme' 'daerinne'
 'montfoort' 'gerechte' 'tractaten']",252,4,215,191,172
145,145,"['tractaet' 'vrede' 'oorlogh' 'vranckrijck' 'vreede' 'oorlog' 'spagnien'
 'koningh' 'geteeckent' 'peijs' 'engeland' 'engelant' 'vranckryck'
 'engelandt' 'vrankryk' 'coning' 'gemelte' 'coningh' 'savoijen' 'spanjen'
 'alliantie' 'pruijssen' 'spangien' 'spanien' 'coninghs' 'mogentheden'
 'geallieerden' 'keyser' 'vereenighde' 'denemarcken' 'gedeclareert'
 'savoyen' 'sweden' 'spanje' 'tractaten' 'sconinghs' 'ambassadeur' 'peys'
 'ower' 'geslooten' 'tussen' 'majesteyt' 'europa' 'mogendheden'
 'vrankrijk' 'portugal' 'koning' 'eenre' 'artikels' 'coninck']",252,8,187,289,222
146,146,"['resolutien' 'resolutie' 'extract' 'minderheid' 'mog' 'goedgevonden' 'ed'
 'achtb' 'meerderheid' 'uedel' 'considiratien' 'hogerwaard' 'geinsereert'
 'agtbaare' 'notulen' 'brielle' 'laastleden' 'magistraat' 'edele' 'dato'
 'deliberatien' 'request' 'ondergeteekende' 'goedvinden' 'verstaan'
 'handelwijze' 'conform' 'ingevolge' 'vermeenen' 'deezen' 'ondergetekende'
 'besoigne' 'inhoud' 'agtb' 'advis' 'gedelibereert' 'vervat' 'nadere'
 'ondergetekenden' 'hunner' 'missive' 'deliberatie' 'declaratoir'
 'voldoening' 'gedeputeerden' 'vroedschappen' 'mogende' 'burgermeesteren'
 'mogenden' 'derzelver']",252,2,198,289,254
147,147,"['zullen' 'tribunaelen' 'ordonnantien' 'gezeyde' 'verklaeren' 'zaeken'
 'wettelyk' 'zal' 'gene' 'dispositien' 'aengaet' 'besluyt' 'vereysschen'
 'wetten' 'volgens' 'maetregels' 'handhaeven' 'schikkingen' 'worden'
 'aengezien' 'magistraeten' 'uytwerkinge' 'tegenstrydig' 'bepaelen'
 'decreten' 'corporatien' 'aenzien' 'verklaert' 'ingevalle' 'onderscheyd'
 'wyze' 'bedieningen' 'konnen' 'gemeyntens' 'tegenwoordige' 'artikel'
 'acten' 'gelyks' 'geender' 'majesteyt' 'communen' 'betrekkelyk' 'bevelen'
 'bevinden' 'grondregels' 'edicten' 'welzyn' 'gewoonelyke' 'opzigte'
 'verzekeren']",251,2,176,298,315
