,topic,words,primitives,category,primitives_corrected,primitives_corrected_1,primitives_corrected_2
10,10,"['afwisselende' 'thans' 'buitengewoon' 'hedennacht' 'steeds' 'onstuimig'
 'dooi' 'vaak' 'kleine' 'tothiertoe' 'aanhoudene' 'vooral' 'weinig' 'koud'
 'zacht' 'zwaar' 'allerschoonst' 'nachtvorst' 'sterke' 'soms' 'aardrijk'
 'hedenmorgen' 'ongeveer' 'bijzonder' 'enz' 'hooi' 'zonneschijn'
 'uitmuntend' 'opvolgende' 'spoedig' 'dagelijks' 'afwisseling'
 'gezondheid' 'vruchtbaar' 'schaatsrijden' 'daardoor' 'mooi'
 'onstuimigheid' 'gezond' 'vroeger' 'genoegzaam' 'paar' 'vorige' 'jongvee'
 'onstuimige' 'veranderlijk' 'bijkans' 'longziekte' 'zwak' 'gevolge']",1149,3,1024,1070,2700
11,11,"['ower' 'coningh' 'coninghs' 'sconinghs' 'selffs' 'verscheydene' 'sich'
 'ondertuschen' 'coninglijcke' 'gemelte' 'derwarts' 'tegenwoordich'
 'martius' 'majest' 'gelegentheyt' 'vreuchde' 'aenspraeck' 'geallieerden'
 'engelandt' 'weinich' 'volckeren' 'oorlogh' 'tuschen' 'hartogh'
 'spangien' 'gehoorsaemheyt' 'brieff' 'majesteyts' 'campement' 'vryheyt'
 'coning' 'gesecht' 'parlement' 'saeck' 'cavallery' 'aengesien' 'bewysen'
 'antwoort' 'ib' 'majesteyt' 'gesproocken' 'wyse' 'gelijck' 'deses'
 'coomt' 'twe' 'savoyen' 'dewyl' 'gingh' 'verschynen']",1113,8,1011,418,496
12,12,"['besluyt' 'communen' 'uytwerkinge' 'zal' 'police' 'maire' 'messidor'
 'zullen' 'departement' 'prefect' 'schikkingen' 'mairie' 'wyze' 'brumaire'
 'aenbieden' 'gene' 'dispositien' 'inwendig' 'adjointen' 'bepaeld'
 'pluviose' 'gelast' 'vendemiaire' 'betrekkelyk' 'thermidor' 'nivose'
 'floreal' 'francs' 'prefecture' 'departementen' 'grondregels'
 'administratie' 'bureau' 'frimaire' 'besluyten' 'aengewezen' 'publique'
 'fructidor' 'aengezien' 'zyne' 'plicht' 'germinal' 'insgelyks' 'gezeyde'
 'tyd' 'aengeplakt' 'verwittigen' 'zaeken' 'get' 'gend']",1069,2,914,611,558
13,13,"['patrioten' 'dragonders' 'jaegers' 'oostenryksche' 'brusselsche' 'escort'
 'gekwetste' 'vyand' 'gekwetst' 'scheuten' 'geescorteert' 'hussaren'
 'husaren' 'aenstonts' 'naght' 'kryghs' 'twelf' 'gecampeert' 'rugge'
 'wegh' 'regiment' 'grenadiers' 'militairen' 'uyt' 'peerd' 'gecommandeert'
 'ingekomen' 'fusieken' 'canoniers' 'oostenrykers' 'patrouillen'
 'garnisoen' 'snaghs' 'detachementen' 'canon' 'borgers' 'gendarmen'
 'morgent' 'zyner' 'vuer' 'volk' 'langhs' 'bender' 'leger' 'bynaer'
 'batteryen' 'patrouille' 'arberg' 'thiensche' 'aengerand']",1062,1,625,521,547
14,14,"['franze' 'inf' 'garnizoen' 'luik' 'maestrigt' 'comm' 'gemarcheert' 'gouv'
 'gaande' 'party' 'infantery' 'tyding' 'had' 'uit' 'duitsland' 'batt'
 'fransen' 'aangekomen' 'trouppes' 'cavallery' 'commando' 'gen' 'ge'
 'franse' 'kwamen' 'uitgetrokken' 'stad' 'kort' 'wierd' 'hoofd' 'komende'
 'ruiters' 'terwyl' 'gekomen' 'gew' 'bestaande' 'deze' 'na' 'hussaren'
 'trokken' 'kwam' 'enige' 'generaal' 'haag' 'luitenant' 'zig' 'terug'
 'gegaan' 'armee' 'tyd']",1058,1,925,871,624
15,15,"['bezogte' 'kwamen' 'naar' 'kwam' 'uur' 'huis' 'dieuwke' 'sijtze'
 'bezoeken' 'ijtje' 'hanna' 'domeni' 'zwager' 'akke' 'toen' 'wijger' 'had'
 'gezondheid' 'lijkle' 'dogter' 'bezogten' 'zoon' 'tjalhuizen' 'achlum'
 'gaan' 'zoontje' 'komst' 'sipke' 'bevond' 'verzogt' 'afscheid'
 'huisgezin' 'klaaske' 'uitnoodiging' 'kleine' 'gereisd' 'aangenaam'
 'wanswerd' 'reis' 'daarna' 'birdaard' 'verblijd' 'doeke' 'kleinzoon'
 'bragt' 'hallum' 'aldaar' 'reizen' 'hallumer' 'zuster']",1048,5,903,413,439
16,16,"['maestrigt' 'gemarcheert' 'trouppes' 'infantery' 'cavallery' 'commando'
 'gepasseert' 'inf' 'battaillons' 'tyding' 'party' 'hussaren' 'campement'
 'franze' 'garnizoen' 'dragonders' 'armee' 'comm' 'regimenten' 'franse'
 'fransen' 'batt' 'anderendaags' 'geallieerden' 'luitenant' 'duitsland'
 'aengekomen' 'gekomen' 'luik' 'enige' 'franssen' 'garnisoen' 'gaande'
 'komende' 'regiment' 'prins' 'trokken' 'rhyn' 'gecampeert' 'luyk'
 'commandant' 'ge' 'vertrokken' 'ruiters' 'aken' 'gecommandeert'
 'agtermiddag' 'had' 'troepen' 'ammunitie']",1029,1,967,1119,607
17,17,"['kouwt' 'koeje' 'tuijs' 'maar' 'waater' 'mooij' 'gehaalt' 'stv' 'kon'
 'plaas' 'paarde' 'heb' 'zaat' 'waare' 'reegen' 'toen' 'gert' 'klaas'
 'kreeg' 'cr' 'taruw' 'markt' 'ploegen' 'gaan' 'swaar' 'gegaan' 'hooij'
 'maakte' 'laate' 'laat' 'gehat' 'daar' 'koome' 'daan' 'zak' 'weer' 'hat'
 'laaste' 'kool' 'kogt' 'braaf' 'daags' 'medenblik' 'krijgen' 'gld' 'wint'
 'ik' 'dog' 'waar' 'gaat']",965,6,184,1022,545
18,18,"['sag' 'republieq' 'onslivrouw' 'besonderlyk' 'kerck' 'hetgene' 'synde'
 'recto' 'genootsaekt' 'toon' 'authaer' 'opstaen' 'gudula' 'doods' 'savel'
 'merckt' 'wird' 'wirden' 'achtervolgt' 'opsigte' 'teweten' 'hunnen'
 'getransporteert' 'verwondering' 'aengeplackt' 'aenstonds' 'borgers'
 'verscheynen' 'vranckryk' 'welckers' 'verschynen' 'syn' 'ideren' 'borger'
 'ueren' 'opstaende' 'naedeel' 'afbeeldsel' 'veroorsaekt' 'genootsaeckt'
 'vergeselschapt' 'gestelt' 'pampier' 'gewesene' 'herberge' 'alswanneer'
 'weth' 'siende' 'begaeven' 'aensien']",934,14,340,190,227
19,19,"['maijesteijt' 'ghelijck' 'eenighe' 'gheschiede' 'armaede' 'ontfanghen'
 'gheselschap' 'voorseijde' 'keijserlicke' 'gheunierde' 'vuijt' 'briefven'
 'ghesontheijt' 'inghelsche' 'ma' 'inghelandt' 'sijne' 'ghesonden'
 'mallecanderen' 'kreeghen' 'daermede' 'tijdijnghe' 'bruijssel'
 'gheresolveert' 'conde' 'ghetracteert' 'datmen' 'ghearriveert'
 'vranckerijcke' 'oversulcx' 'cattholijcke' 'gheselschaep' 'gheweest'
 'spaignien' 'vergheselschapt' 'gheschreven' 'teghens' 'ghetal' 'eenich'
 'sijnen' 'corts' 'drije' 'brijngen' 'sonderlijnghe' 'commen' 'landtvlote'
 'ghecommen' 'brochten' 'ghenomen' 'ghemeente']",918,8,535,773,325
20,20,"['grondregels' 'gevoelens' 'welzyn' 'gy' 'uwe' 'verzekeren' 'volkeren'
 'zekerheyd' 'myne' 'vryheyd' 'vaderland' 'iever' 'inzigten' 'handhaeven'
 'my' 'eygendommen' 'maetregels' 'verzekeringe' 'wyze' 'aengezien'
 'betrouwen' 'poogingen' 'vereysschen' 'middels' 'aenzien' 'oogwit'
 'natie' 'wy' 'medeborgers' 'pligt' 'bloed' 'vertrouwen' 'pligten' 'zult'
 'verdedigen' 'uw' 'kloekmoedigheyd' 'toebetrouwt' 'daed' 'getrouwigheyd'
 'konnen' 'zorge' 'heerschen' 'zaeken' 'oogenblik' 'nootzaekelyk'
 'voorwerp' 'gelooven' 'gehoorzaemheyd' 'onderdaenen']",903,15,452,486,341
21,21,"['reidts' 'gealierde' 'continuerde' 'continuerden' 'brusselen'
 'enghelschen' 'cronijke' 'bequam' 'enghelsche' 'koninckx' 'vranckerijck'
 'briven' 'vivers' 'troepen' 'canten' 'platsen' 'doort' 'legher' 'bagasie'
 'enghelant' 'verstont' 'waghens' 'gheslaghen' 'jannuarius' 'lanckx'
 'vreughden' 'leghers' 'sulckx' 'belegh' 'franschen' 'soom' 'vijanden'
 'allen' 'tijdinghe' 'verovert' 'hollantsche' 'garnisoen' 'schotlant'
 'pruijsen' 'gevolgh' 'besigh' 'ostende' 'vernam' 'inghenomen' 'batalie'
 'ammonitie' 'coninginne' 'volck' 'ettelijcke' 'vlanderen']",898,1,859,363,342
